text,sentiment
steamy soap opera wey unfold against di backdrop of caution histori lesson wey remind us say for naija di more wey tins dey change di more dem dey craze,Positive
plenti work wit scrutini enta to make dis dis kain plenti tins im quality stand out easy and brazen di sheer amount of as e dey authentic dey breathtaking,Positive
my village people na film wey go make you loose your home train wen you dey watch am but na pathfinder for sort nollywood general neva do beta job for makin di supernatural dey sexy and to dey appeal my village people achieve am wit no wahala and e deserve big amount of hailing,Positive
di tori no be something wey we neva see before but dem tell am from naija perspective e dey funny quirk and di dialogue dey great wen we compare am wit other dem wey dey available for naija market     i enjoy di film finish i go surely recommend am give my naija folk dem,Positive
1980s drug mules beautiful black women  i dey heaven,Positive
e dey realise but slow pace wit very melodrama beta actin  base on true mata wit decent tori di pace dey wan kain slow for my own wit some scene be like madefortv film di cheese music and di over dramatize    e dey watchable if you sabi wetin you wan enta before time,Positive
correct     tanks for dis i dey impress wit am but me nelson orah play di character of ahmed no be umar i go appreciate am if dem correct am,Positive
she dey supa fantastic you wan  see dis film dis film dey extraordinary enjoy pure nollywood sweet,Positive
i dey thrill after i watch di film everitin dey on point i dey particular impress wit di quality of di cast wit crew di director kemi adetiba do beta job and i dey proud of am i don recommend am give many am give many pipo i dey look forward to watch more of im work,Positive
genevieve nnaji stamp im foot concrete for di pantheon of genius director she no dey disappoint for her debut  lion heart na must watch as im announce di birth of international nollywood,Positive
nollywood for im peak    dis film tell tori about culture unity wit family so so theme wey i no fit finish mention,Positive
beta wit wise film na  beta film wey show di danger wey dey naija tribalism wit how im fit affect young love,Positive
dis film na beta offer for di genre,Positive
i like dis film    i dey really surprise to read negative review for dis film shey we sabi wetin beta film be like trutru dis film beta e dey very enjoy di character dem dey well develop di toriline dey believe and relate and di quality fantastic well done guys i like am pass wedding party 1 and 2 i no dey disappoint at all,Positive
i see di premier for houston texas    dis film suppose win oscar award di toriline sef dey very gud di actor dem dey incredible,Positive
anyone wey love art wey don see part one go know di plot wit toriline don dey build there and dis na follow up,Positive
beta outcome,Positive
expository film    dis na very gud and distinct film some pipo fit no like am because di love or di thriller tori film don masta dem or because dem no dey use to life wit motor di film really show how tins be for di life of  mechanic dem apprentice and customer dem e also teach parent and pikin dem beta lesson na seemingly perfect expository film,Positive
understated powerful crime drama wit histori flavour dis na very character rich film no single scene dey waste,Positive
