text,sentiment
yeah the guy wants to trend dat was why e join nysc e cant trend with good music again,Negative
this life is so funny sef you will work hard and buy cloths and shoes and rain will start dictating when to wear them for you because you see rain to wear white na war to wear suede na wahala shoe wey i take my money buy,Negative
dis is unfair of urcompany goingtowks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatum else u willbsurprised my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,Negative
lil wayne don vex me im actually not excited again,Negative
dis is unfair of ur company going to wks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatumelse u will surprise my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment,Negative
e be like u sef dey mad,Negative
sure parole with dem boys dey mainland like this but no be me dem go use trend tomorrow these lagos police officers are unruly,Negative
daddy mi o if a day is possible sef we go come dey chop chips and gala like if we walk too far from departure we go miss flight,Negative
today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god,Negative
family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ,Negative
sweater god e don dey be like my supervisor disturbing me for project,Negative
chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife,Negative
if by tomorrow i cannot make transactions with my account ill be done with yall and thats on period i know the money wey dey there na small thing butmake e work well napeople cannot even help my lifewhats this one na,Negative
like where i wan dey see k monthly where i dey work,Negative
yess ooo be like e don cancel trip sef sigh,Negative
person wey i wan shoot shot to don egbonzone me again ooo,Negative
you see those ones wey dey change paper to money i no dey believe say dem dey exist until d day dem run me pure street since last year sept i still dey think about my k till today na k these bastards use to cover d perfectly cut cartons wey be like real money ot of life,Negative
na the witchcraft part omo e just dawn on me say true dem don turn black witches o,Negative
this ramadan im reporting plenty people to god una don too do me strong thing,Negative
you see why sticking to what youre familiar with is the best when making food choices just had the trashiest creamy chicken sauce with basmati rice and i dont know how to feel well maybe not trashy its just not something im used to i no dey chop pass rice and stew,Negative
please i find it difficult to understand this space ehnneveryday every new morning different thingsee ehnn i know say luno own na savings una help me do see if una touch wlai i go cry my tired i seriously exhausted,Negative
abeg please wetin dey happen i havent eaten since morning because of you people and im not owing oooo,Negative
futo babes  you sha not misbehave with dem cause dem dey burst bottle,Negative
she ws floggin me dat very day d beatin ws so much dat i try fight back nd dis man came rm nowhere omg i almost die dat daydat my head wey no correct full of koko nd my mom was there watching dat ws d last day she floggin me always sha obt i see hell return dat day,Negative
went to see mortal kombat at imax lekki e be like say subzero dey the cinema hall the main cold wey wan finish us ehn,Negative
guy i told this man my surname e shout e say taaa you get money na say my papa even grandpa made money alaye im jobless you wan make i dey buy beer every day gon meet my grandpa,Negative
i subscribe gb una no go allow am last now again una dey use una network they test my patience atleast lemme enjoy the network now even if i wont enjoy my data,Negative
a letter to my ex dear miss amaka you been tell me say ikechukwu na your brother all those years only for you to invite me come wedding come see you dey marry the same ikechukwu my chest still dey pain me till today for my leg and my abdomen region,Negative
e con be like say i no even dey do anything,Negative
no light heat come dey againand our forever tenantmosquitoes dey also do their job which kind wahala be this,Negative
fine girl  wahala and wahala no dey finish so dem dey fear us,Negative
make pple d dey very careful wit diz end of month oo month don end month don end ehhenn who tell u say month end nah pay day some pple month nah dayz abeg make una take am easy wit pple oo diz monin i hear wife dey corey wit husband ontop breakfast money,Negative
lmao hin no dey see zero na e dey see,Negative
boss bless me tonight abeg even if na any amount hungry wan finish me for where ahde,Negative
forex trading be like baba don put hand for head alot of persons make the mistake of opening multiple running trades abeg how you wan manage them without running mad,Negative
wahala be like nigeria e dey paint pesin black,Negative
where una dey see this money to chop four eggs eh this noodles looks terrible tho,Negative
if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine,Negative
be like i came to church very early o sermon no wan end and my stomach don dey para,Negative
wahala be like bicycle ooooo kuje rain don commot person roof breeze carry roof hit person windshield spoil d person gate breeze lift roof again to spoil another person house god abeg they still dey commot money for this house,Negative
im in tears guys see how my customer is rocking her bag she made me so happy with this picture e choke abi e no choke lagos nigeria,Negative
im in tears guys see how my customer rocked her bag she made me so happy with this picture e choke abi e no choke ikeja,Negative
this work of is going to cost me more hours to complete and im not giving up not now or never  so many legends dey but im just trying to be another one please kindly retweet for a bother na,Negative
done turn rich friend oooooo abeg where una dey see this money,Negative
gaskiya na sha wahala na bils they call me attention seeker e choke,Negative
where una dey find this love abeg if you help me see,Negative
e dey do me like make friday just come im tired of here already,Negative
stop tell me i forget you pls that have to stop remember when you dey suffer i know come help you and u know call me enjoyment come ur side my phone no ring oh now d table don turn i don become ur enemy life,Negative
if you go to that party behind metheyll not give you rice chop and if them give you rice meat know go dey on top ami hate rubbishnow im just home alone looking like person wey lost her way to naija abeg who get party for there area lemme turn up please,Negative
dis boys av dual citizenshipno properties nor businesses in nigeria bt ar makin d loudest noises and ar causin problem in d country dey can leave d country anytime dey set it ablaze wt d help of sentimental apologists dey av turned some of our youths zombies wt no brains,Negative
am ur biggest fan person blow me for mouth coz of you we dey argue u and olamide who get vibes pass i argue they tell dem sey na get vibes pass before u no wetin dey happen wey don dey argue i no know wen i call the boy bastard out of anger the guy blow me,Negative
how far after the online bashing na this way una go una dey hawk our jersey like this cc,Negative
this modric goal was one real madrid goal i didnt celebrate dem just ruin handicap wey everything don set,Negative
the kind body heating wey dis geh gimme for bus now ehn unto say i look like snow white shey na my fault,Negative
one hour before you enter abuja you for don dey see good roads na where the madness of all the drivers on the road they start be that come and see speeding all im hearing is voom voom voom left and right,Negative
na so i call them for house say i don reach school ooo them come give me another bad news say i forget my meat as i dey pack my stuff meat wey i do walaha fry yesterday afternoon as i dey now ehn i no fit think because this cold sef don enter my brain,Negative
the rice wey i cook this morning no follow at all be like something dem wan give bingo,Negative
in this life bros fear women same best friend dey here dey chop her friend man buh my babe friends dey do strong head,Negative
make me regret not moving you as i was moving to take my place as a marlian oh now see you seeing heaven and i gotta wait till weekend when im less busy when before na one dm wey sound like bro are you back real inside life,Negative
na wetin de pain me for justice be that the crime don kill one person,Negative
i just no wan curse people doing this face and account thing why you dey give pesin hbp like this,Negative
